latitude	longitude
31.48	-7.45
34.0787	-4.19891
31.2366	-7.81285
31.2366	-7.81285
31.41988	-7.5262
31.41988	-7.5262
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.47197	-7.40644
31.22656	-7.67361
31.22656	-7.67361
34.01934	-4.0839
34.01934	-4.0839
35.04256	-5.02369
33.9561	-4.05153
33.9561	-4.05153
33.9561	-4.05153
34.05293	-4.22245
34.05293	-4.22245
34.09166	-4.10258
34.09166	-4.10258
34.09166	-4.10258
34.09166	-4.10258
33.8723	-4.02647
33.8723	-4.02647
35.04256	-5.02369
35.04256	-5.02369
34.99519	-4.83141
34.96076	-4.66611
34.96076	-4.66611
34.96076	-4.66611
35.4528	-5.42698
35.4528	-5.42698
32.97243	-5.44856
32.97243	-5.44856
32.97243	-5.44856
32.97243	-5.44856
32.97243	-5.44856
32.97243	-5.44856
33.42357	-5.17911
33.42357	-5.17911
33.42357	-5.17911
33.42357	-5.17911
33.42357	-5.17911
33.42357	-5.17911
33.42357	-5.17911
32.53516	-6.014969
32.53516	-6.014969
32.53516	-6.014969
32.53516	-6.014969
32.53516	-6.014969
33.55006	-5.17465
33.55006	-5.17465
33.55006	-5.17465
32.92735	-5.51027
32.92735	-5.51027
32.07853	-6.275309
32.04208	-6.22955
33.55006	-5.17465
-34.125	19.375
-34.125	19.375
-34.125	19.375
33.399	19.282
-34.125	19.375
-3.021568	37.159565
-3.23333	36.71667
-3.23333	36.71667
34.8833	32.8666
47.4	0.683333
48.5167	-4.06667
48.5167	-4.06667
47.35	3.93333
44.65	-1.16667
46.6667	4.11667
46.6667	4.11667
49.3667	16.2667
49.4211	16.3497
49.4112	16.2815
49.403	16.232
47	15.5
40.8313	-87.735
40.8313	-87.735
40.8313	-87.735
40.8313	-87.735
40.8313	-87.735
40.8313	-87.735
40.9076	-73.2089
40.9076	-73.2089
40.7777	-72.9069
40.7777	-72.9069
40.9447	-72.8615
40.9447	-72.8615
40.9064	-73.1493
40.9064	-73.1493
40.9352	-73.114
40.9352	-73.114
42.3	74.3667
42.1833	73.4
42.5833	73.6333
42.8	76.35
37.35	72.4667
37.9169	-84.4639
41.7976	-86.6691
41.7976	-86.6691
41.8266	-86.4366
41.8266	-86.4366
41.8266	-86.4366
41.8972	-71.4378
42.3634	-71.1445
55.3833	14.05
55.3833	14.05
55.3833	14.05
55.3833	14.05
55.3833	14.05
55.7167	14.1333
55.7167	14.1333
55.7167	14.1333
55.7167	14.1333
55.7167	14.1333
56.7	16.5167
56.7	16.5167
59.4333	17.0167
59.4333	17.0167
59.5667	16.8667
59.5667	16.8667
63.0833	18.3667
41.9	-86.583
41.9	-86.583
43.3431	-86.4045
43.3431	-86.4045
41.879	-86.607
41.879	-86.607
42.405	-85.398
42.405	-85.398
42.184	-86.358
42.184	-86.358
41.847	-86.67
41.847	-86.67
41.8	-86.67
41.8	-86.67
42.051	-86.509
42.051	-86.509
42.051	-86.509
43.595	-86.2657
43.595	-86.2657
43.595	-86.2657
43.595	-86.2657
43.5139	-86.1859
43.5251	-86.1843
43.5251	-86.1843
43.5251	-86.1843
43.5187	-86.1739
43.5356	-86.1788
43.5356	-86.1788
42.166	-86.412
42.166	-86.412
42.166	-86.412
43.2483	-86.3368
43.2483	-86.3368
43.2749	-86.0891
43.2749	-86.0891
43.2749	-86.0891
42.148	-86.431
42.148	-86.431
42.148	-86.431
43.7623	-86.3929
43.7623	-86.3929
43.7623	-86.3929
42.184	-86.382
42.184	-86.382
43.665	-86.496
43.665	-86.496
43.665	-86.496
43.665	-86.496
42.03	-86.514
41.865	-86.646
41.865	-86.646
50.4	-4.9
50.4	-4.9
50.4	-4.9
50.4	-4.9
50.3	-4.9
50.3	-4.9
50.3	-4.8
50.4	-4.7
50.5	-4.5
51.3	0.5
51.3	0.5
52.2	-1.7
51.3	0.4
51.2	0.3
51.2	0.4
51.2	0.3
51.1	0.6
51.3	1.1
51.3	1.1
51.1	0.4
54.5	-3
54.4	-3
54.6	-3.3
54.7	-3.4
54.4	-2.9
54.4	-2.9
54.6	-3.2
57	-3.4
53.3	-1.6
51.3	1.1
56.6	-4.1
56	-4.4
54.6	-2.3
54.1	-1.5
54.1	-2.3
52.9	-1.3
51	-3.1
56.4	-5.2
53.1	-3.3
57.4	-5.5
52.9	-3.1
56.7333	-5.98333
56.3333	15.9667
56.3333	15.9667
56.3333	15.9667
55.86	13.51
49.4013	16.2326
63.0167	17.4914
62.6814	18.0165
55.76	14.12
55.76	14.12
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.4112	16.2815
49.1	16.2
62.877	18.177
62.877	18.177
62.877	18.177
62.877	18.177
62.877	18.177
62.9	18.4
62.9	18.4
56.06	14.29
56.06	14.29
56.06	14.29
56.06	14.29
55.7509	13.3712
55.7509	13.3712
62.6437	17.7339
62.806	18.1896
56.1	13.74
56.1	13.74
56.1	13.74
56.1	13.74
56.1	13.74
55.66	13.4
56.0328	14.775
56.09	13.9
62.801	18.079
62.801	18.079
62.9513	18.2763
62.9513	18.2763
62.9308	18.3448
62.9308	18.3448
56.1481	15.8155
56.4573	16.1308
55.6942	13.4504
55.6942	13.4504
55.7097	13.2145
58.9	11.2
56.4666	16.1284
56.4666	16.1284
55.6525	13.2197
55.6525	13.215
55.6514	13.2233
55.6494	13.2147
55.6486	13.2161
55.6472	13.2225
55.6481	13.2264
55.6561	13.2178
55.6575	13.2386
55.6	13.2
55.6	13.2
55.6	13.2
55.7	13.2
55.7967	13.1211
55.7931	13.1186
55.7942	13.1222
55.7989	13.1206
55.7936	13.1233
55.7989	13.1219
55.7967	13.1044
55.8078	13.1028
55.8097	13.1342
55.8	13.1367
55.7	13.2
55.7	13.2
55.8364	13.3075
55.8369	13.3033
55.8378	13.3092
55.8403	13.3106
55.8411	13.3047
55.8397	13.2881
55.8369	13.3181
55.8386	13.3186
55.8364	13.2906
55.8383	13.2906
55.9336	13.5519
55.9419	13.5603
55.9403	13.5511
55.9392	13.5539
55.9414	13.5542
55.9428	13.5558
55.9497	13.5533
55.9319	13.5508
55.9281	13.5481
55.9261	13.5319
55.6528	13.2244
62.6425	17.7422
62.6422	17.7406
62.6425	17.7356
62.6425	17.7372
62.8714	18.3447
62.8717	18.3436
62.8717	18.3419
62.8719	18.3422
62.6322	17.69
62.6322	17.6906
62.8892	18.4522
55.7683	14.1386
55.7686	14.1383
55.7689	14.1375
55.7692	14.1369
55.7694	14.1347
55.7706	14.1342
55.7708	14.1342
55.7708	14.1331
55.7719	14.1211
55.7717	14.1206
55.7714	14.1208
62.8836	18.1842
62.8839	18.1836
63.0175	18.3281
63.0167	18.3283
63.0169	18.3283
63.0172	18.3283
62.806	18.1896
62.806	18.1896
62.96	18.2844
62.9611	18.3589
62.9619	18.35
62.9619	18.35
62.9622	18.35
62.9614	18.3608
55.7	13.2
56.27373	13.90045
62.9169	18.4728
55.5796	14.3336
55.5796	14.334
55.5796	14.3336
55.5796	14.3336
55.5796	14.3336
55.5796	14.3336
49.2771	16.6314
49.2771	16.6314
49.2771	16.6314
56.06	13.97
49.3853	16.2544
49.3853	16.2544
49.3853	16.2544
51.85	6.4333
40.8585	-73.4675
40.8585	-73.4675
40.8585	-73.4675
42.4489	-76.5072
42.4489	-76.5072
42.373	-71.0627
42.373	-71.0627
41.2816	-86.621
49.5	73.1
45	1.3
51.2167	4.4
63.324	18.484
63.324	18.484
49.4013	16.2326
49.2	16.6166
51.4083	-0.6383
51.4083	-0.6383
38.3	-92.3
15.1111	-23.6167
62.877	18.177
50.3	6.3
63.0165	18.3174
63.0165	18.3174
50.3	8
51.5338	9.9355
50.3	8
51.4083	-0.6383
51.4083	-0.6383
44.46	-85.37
41.2816	-86.621
38.48	68.49
49.5	73.1
47.984	10.8719
41.59	2.49
